Idx,Lexicalization,Condition,Condition name,Item
0,1,1,nc-nom,지은이 사실을 [MASK].
1,2,1,nc-nom,호준이 용돈을 [MASK].
2,3,1,nc-nom,은지가 불을 [MASK].
3,4,1,nc-nom,용준이 마중을 [MASK].
4,5,1,nc-nom,은영이 저녁을 [MASK].
5,6,1,nc-nom,강우가 돈을 [MASK].
6,7,1,nc-nom,채영이 행복을 [MASK].
7,8,1,nc-nom,태환이 소식을 [MASK].
8,9,1,nc-nom,채은이 편지를 [MASK].
9,10,1,nc-nom,종현이 소식을 [MASK].
10,11,1,nc-nom,이화가 손님을 [MASK].
11,12,1,nc-nom,창석이 선물을 [MASK].
12,13,1,nc-nom,하나가 자동차를 [MASK].
13,14,1,nc-nom,민기가 선생님을 [MASK].
14,15,1,nc-nom,원영이 만점을 [MASK].
15,16,1,nc-nom,상현이 음식을 [MASK].
16,17,1,nc-nom,혜미가 관심을 [MASK].
17,18,1,nc-nom,찬영이 꿈을 [MASK].
18,19,1,nc-nom,시은이 소리를 [MASK].
19,20,1,nc-nom,동준이 규칙을 [MASK].
20,21,1,nc-nom,영은이 생각을 [MASK].
21,22,1,nc-nom,유준이 열쇠를 [MASK].
22,23,1,nc-nom,새롬이 집을 [MASK].
23,24,1,nc-nom,강호가 음악을 [MASK].
24,25,1,nc-nom,나연이 의견을 [MASK].
25,26,1,nc-nom,영호가 한계를 [MASK].
26,27,1,nc-nom,지효가 여행을 [MASK].
27,28,1,nc-nom,우성이 소원을 [MASK].
28,29,1,nc-nom,영희가 동물을 [MASK].
29,30,1,nc-nom,서진이 그림을 [MASK].
30,31,1,nc-nom,채린이 심부름을 [MASK].
31,32,1,nc-nom,은혁이 짐을 [MASK].
32,33,1,nc-nom,희진이 이유를 [MASK].
33,34,1,nc-nom,재용이 정답을 [MASK].
34,35,1,nc-nom,지아가 밥을 [MASK].
35,36,1,nc-nom,태웅이 잘못을 [MASK].
36,37,1,nc-nom,아름이 돈을 [MASK].
37,38,1,nc-nom,상엽이 힘을 [MASK].
38,39,1,nc-nom,혜주가 거짓말을 [MASK].
39,40,1,nc-nom,현민이 실수를 [MASK].
40,41,1,nc-nom,은혜가 범인을 [MASK].
41,42,1,nc-nom,효섭이 학교를 [MASK].
42,43,1,nc-nom,지영이 수학을 [MASK].
43,44,1,nc-nom,도경이 보상을 [MASK].
44,45,1,nc-nom,보미가 제안을 [MASK].
45,46,1,nc-nom,민찬이 창문을 [MASK].
46,47,1,nc-nom,하은이 고비를 [MASK].
47,48,1,nc-nom,태우가 길을 [MASK].
48,49,1,nc-nom,은채가 모습을 [MASK].
49,50,1,nc-nom,성재가 음악을 [MASK].
50,51,1,nc-nom,가영이 귀를 [MASK].
51,52,1,nc-nom,석현이 길을 [MASK].
52,53,1,nc-nom,민지가 결과를 [MASK].
53,54,1,nc-nom,성우가 신발을 [MASK].
54,55,1,nc-nom,수정이 아이를 [MASK].
55,56,1,nc-nom,은찬이 잘못을 [MASK].
56,57,1,nc-nom,선미가 싸움을 [MASK].
57,58,1,nc-nom,재민이 지갑을 [MASK].
58,59,1,nc-nom,유진이 약을 [MASK].
59,60,1,nc-nom,민식이 문제를 [MASK].
60,1,2,nc-nun,지유는 사실을 [MASK].
61,2,2,nc-nun,이찬은 용돈을 [MASK].
62,3,2,nc-nun,새봄은 불을 [MASK].
63,4,2,nc-nun,선호는 마중을 [MASK].
64,5,2,nc-nun,혜령은 저녁을 [MASK].
65,6,2,nc-nun,민호는 돈을 [MASK].
66,7,2,nc-nun,희연은 행복을 [MASK].
67,8,2,nc-nun,용석은 소식을 [MASK].
68,9,2,nc-nun,주미는 편지를 [MASK].
69,10,2,nc-nun,동우는 정답을 [MASK].
70,11,2,nc-nun,선희는 손님을 [MASK].
71,12,2,nc-nun,영철은 선물을 [MASK].
72,13,2,nc-nun,유나는 자동차를 [MASK].
73,14,2,nc-nun,도환은 선생님을 [MASK].
74,15,2,nc-nun,하솔은 만점을 [MASK].
75,16,2,nc-nun,도완은 음식을 [MASK].
76,17,2,nc-nun,예지는 관심을 [MASK].
77,18,2,nc-nun,동윤은 꿈을 [MASK].
78,19,2,nc-nun,승연은 소리를 [MASK].
79,20,2,nc-nun,찬우는 규칙을 [MASK].
80,21,2,nc-nun,지현은 생각을 [MASK].
81,22,2,nc-nun,영환은 열쇠를 [MASK].
82,23,2,nc-nun,지연은 집을 [MASK].
83,24,2,nc-nun,재현은 음악을 [MASK].
84,25,2,nc-nun,현주는 의견을 [MASK].
85,26,2,nc-nun,윤호는 한계를 [MASK].
86,27,2,nc-nun,화영은 여행을 [MASK].
87,28,2,nc-nun,이준은 소원을 [MASK].
88,29,2,nc-nun,지영은 동물을 [MASK].
89,30,2,nc-nun,상혁은 그림을 [MASK].
90,31,2,nc-nun,다혜는 심부름을 [MASK].
91,32,2,nc-nun,형수는 짐을 [MASK].
92,33,2,nc-nun,은정은 이유를 [MASK].
93,34,2,nc-nun,석진는 정답을 [MASK].
94,35,2,nc-nun,연수는 밥을 [MASK].
95,36,2,nc-nun,도윤은 잘못을 [MASK].
96,37,2,nc-nun,지윤은 돈을 [MASK].
